series,quarter,value
T17055,2011-12-31,11480.0
T17055,2012-03-31,12980.0
T17055,2012-06-30,13870.0
T17055,2012-09-30,16200.0
T17055,2012-12-31,15480.0
T17055,2013-03-31,13050.0
T17055,2013-06-30,12140.0
T17055,2013-09-30,10370.0
T17055,2013-12-31,12440.0
T17055,2014-03-31,11600.0
T17055,2014-06-30,11810.0
T17055,2014-09-30,12540.0
T17055,2014-12-31,11950.0
T17055,2015-03-31,11830.0
T17055,2015-06-30,12150.0
T17055,2015-09-30,11000.0
T17055,2015-12-31,11010.0
T17055,2016-03-31,11420.0
T17055,2016-06-30,11100.0
T17055,2016-09-30,11100.0
T17055,2016-12-31,12280.0
T17055,2017-03-31,13070.0
T17055,2017-06-30,14960.0
T17069,2007-12-31,5590.0
T17069,2008-03-31,5000.0
T17069,2008-06-30,6210.0
T17069,2008-09-30,6590.0
T17069,2008-12-31,7980.0
T17069,2009-03-31,5710.0
T17069,2009-06-30,6110.0
T17069,2009-09-30,6820.0
T17069,2009-12-31,6510.0
T17069,2010-03-31,6120.0
T17069,2010-06-30,6630.0
T17069,2010-09-30,4930.0
T17069,2010-12-31,5800.0
T17069,2011-03-31,5780.0
T17069,2011-06-30,5250.0
T17069,2011-09-30,5780.0
T17069,2011-12-31,6100.0
T17069,2012-03-31,8340.0
T17069,2012-06-30,9860.0
T17069,2012-09-30,9600.0
T17069,2012-12-31,7460.0
T17069,2013-03-31,2330.0
T17069,2013-06-30,7500.0
T17069,2013-09-30,11540.0
T17069,2013-12-31,8810.0
T17069,2014-03-31,11360.0
T17069,2014-06-30,9560.0
T17069,2014-09-30,10020.0
T17069,2014-12-31,10510.0
T17069,2015-03-31,9730.0
T17069,2015-06-30,10760.0
T17069,2015-09-30,10060.0
T17069,2015-12-31,11810.0
T17069,2016-03-31,12540.0
T17069,2016-06-30,13140.0
T17069,2016-09-30,12070.0
T17069,2016-12-31,11150.0
T17069,2017-03-31,12560.0
T17069,2017-06-30,12190.0
T17082,2007-12-31,5140.0
T17082,2008-03-31,5510.0
T17082,2008-06-30,5320.0
T17082,2008-09-30,5850.0
T17082,2008-12-31,5350.0
T17082,2009-03-31,5600.0
T17082,2009-06-30,5780.0
T17082,2009-09-30,5970.0
T17082,2009-12-31,6410.0
T17082,2010-03-31,6390.0
T17082,2010-06-30,6800.0
T17082,2010-09-30,6490.0
T17082,2010-12-31,6540.0
T17082,2011-03-31,7110.0
T17082,2011-06-30,7110.0
T17082,2011-09-30,7500.0
T17082,2011-12-31,7710.0
T17082,2012-03-31,6510.0
T17082,2012-06-30,6560.0
T17082,2012-09-30,6920.0
T17082,2012-12-31,6630.0
T17082,2013-03-31,6910.0
T17082,2013-06-30,7090.0
T17082,2013-09-30,6700.0
T17082,2013-12-31,6540.0
T17082,2014-03-31,6730.0
T17082,2014-06-30,6740.0
T17082,2014-09-30,6310.0
T17082,2014-12-31,6290.0
T17082,2015-03-31,6130.0
T17082,2015-06-30,5980.0
T17082,2015-09-30,5970.0
T17082,2015-12-31,5960.0
T17082,2016-03-31,6420.0
T17082,2016-06-30,6540.0
T17082,2016-09-30,6640.0
T17082,2016-12-31,6480.0
T17082,2017-03-31,6840.0
T17082,2017-06-30,6730.0
T17101,2007-12-31,1380.0
T17101,2008-03-31,1370.0
T17101,2008-06-30,1400.0
T17101,2008-09-30,1310.0
T17101,2008-12-31,1250.0
T17101,2009-03-31,1160.0
T17101,2009-06-30,1140.0
T17101,2009-09-30,1090.0
T17101,2009-12-31,1110.0
T17101,2010-03-31,1120.0
T17101,2010-06-30,1140.0
T17101,2010-09-30,1180.0
T17101,2010-12-31,1170.0
T17101,2011-03-31,1280.0
T17101,2011-06-30,1280.0
T17101,2011-09-30,1310.0
T17101,2011-12-31,1290.0
T17101,2012-03-31,1170.0
T17101,2012-06-30,1170.0
T17101,2012-09-30,1140.0
T17101,2012-12-31,1150.0
T17101,2013-03-31,1160.0
T17101,2013-06-30,1140.0
T17101,2013-09-30,1190.0
T17101,2013-12-31,1210.0
T17101,2014-03-31,1290.0
T17101,2014-06-30,1300.0
T17101,2014-09-30,1320.0
T17101,2014-12-31,1310.0
T17101,2015-03-31,1310.0
T17101,2015-06-30,1400.0
T17101,2015-09-30,1340.0
T17101,2015-12-31,1370.0
T17101,2016-03-31,1530.0
T17101,2016-06-30,1500.0
T17101,2016-09-30,1570.0
T17101,2016-12-31,1630.0
T17101,2017-03-31,1600.0
T17101,2017-06-30,1750.0
T17111,2007-12-31,1680.0
T17111,2008-03-31,1380.0
T17111,2008-06-30,1310.0
T17111,2008-09-30,2240.0
T17111,2008-12-31,1400.0
T17111,2009-03-31,1480.0
T17111,2009-06-30,1060.0
T17111,2009-09-30,3070.0
T17111,2009-12-31,1910.0
T17111,2010-03-31,1260.0
T17111,2010-06-30,1610.0
T17111,2010-09-30,1500.0
T17111,2010-12-31,1950.0
T17111,2011-03-31,1810.0
T17111,2011-06-30,1910.0
T17111,2011-09-30,1520.0
T17111,2011-12-31,2080.0
T17111,2012-03-31,1800.0
T17111,2012-06-30,1990.0
T17111,2012-09-30,2020.0
T17111,2012-12-31,2420.0
T17111,2013-03-31,1990.0
T17111,2013-06-30,2000.0
T17111,2013-09-30,1580.0
T17111,2013-12-31,3250.0
T17111,2014-03-31,1730.0
T17111,2014-06-30,1760.0
T17111,2014-09-30,2860.0
T17111,2014-12-31,2510.0
T17111,2015-03-31,2170.0
T17111,2015-06-30,2700.0
T17111,2015-09-30,2300.0
T17111,2015-12-31,3060.0
T17111,2016-03-31,2870.0
T17111,2016-06-30,2300.0
T17111,2016-09-30,3840.0
T17111,2016-12-31,3440.0
T17111,2017-03-31,3410.0
T17111,2017-06-30,2080.0
T17117,2007-12-31,5700.0
T17117,2008-03-31,3400.0
T17117,2008-06-30,3510.0
T17117,2008-09-30,4680.0
T17117,2008-12-31,4410.0
T17117,2009-03-31,2490.0
T17117,2009-06-30,3290.0
T17117,2009-09-30,4000.0
T17117,2009-12-31,4780.0
T17117,2010-03-31,2980.0
T17117,2010-06-30,3830.0
T17117,2010-09-30,4180.0
T17117,2010-12-31,4810.0
T17117,2011-03-31,3440.0
T17117,2011-06-30,3940.0
T17117,2011-09-30,4930.0
T17117,2011-12-31,5750.0
T17117,2012-03-31,3080.0
T17117,2012-06-30,3990.0
T17117,2012-09-30,5330.0
T17117,2012-12-31,5650.0
T17117,2013-03-31,3390.0
T17117,2013-06-30,4250.0
T17117,2013-09-30,4610.0
T17117,2013-12-31,5380.0
T17117,2014-03-31,3850.0
T17117,2014-06-30,4430.0
T17117,2014-09-30,4810.0
T17117,2014-12-31,5410.0
T17117,2015-03-31,3950.0
T17117,2015-06-30,4440.0
T17117,2015-09-30,5200.0
T17117,2015-12-31,5850.0
T17117,2016-03-31,4240.0
T17117,2016-06-30,4820.0
T17117,2016-09-30,5470.0
T17117,2016-12-31,5870.0
T17117,2017-03-31,4520.0
T17117,2017-06-30,4790.0
T17160,2007-12-31,1290.0
T17160,2008-03-31,1250.0
T17160,2008-06-30,1250.0
T17160,2008-09-30,1220.0
T17160,2008-12-31,1180.0
T17160,2009-03-31,1160.0
T17160,2009-06-30,1160.0
T17160,2009-09-30,1150.0
T17160,2009-12-31,1240.0
T17160,2010-03-31,1260.0
T17160,2010-06-30,1300.0
T17160,2010-09-30,1320.0
T17160,2010-12-31,1360.0
T17160,2011-03-31,1420.0
T17160,2011-06-30,1360.0
T17160,2011-09-30,1300.0
T17160,2011-12-31,1440.0
T17160,2012-03-31,1400.0
T17160,2012-06-30,1530.0
T17160,2012-09-30,1510.0
T17160,2012-12-31,1480.0
T17160,2013-03-31,1470.0
T17160,2013-06-30,1460.0
T17160,2013-09-30,1480.0
T17160,2013-12-31,1380.0
T17160,2014-03-31,1450.0
T17160,2014-06-30,1400.0
T17160,2014-09-30,1390.0
T17160,2014-12-31,1430.0
T17160,2015-03-31,1540.0
T17160,2015-06-30,1610.0
T17160,2015-09-30,1660.0
T17160,2015-12-31,1650.0
T17160,2016-03-31,1560.0
T17160,2016-06-30,1520.0
T17160,2016-09-30,1490.0
T17160,2016-12-31,1520.0
T17160,2017-03-31,1620.0
T17160,2017-06-30,1600.0
T17169,2007-12-31,990.0
T17169,2008-03-31,840.0
T17169,2008-06-30,730.0
T17169,2008-09-30,790.0
T17169,2008-12-31,880.0
T17169,2009-03-31,1100.0
T17169,2009-06-30,1160.0
T17169,2009-09-30,1090.0
T17169,2009-12-31,1130.0
T17169,2010-03-31,1020.0
T17169,2010-06-30,1020.0
T17169,2010-09-30,1220.0
T17169,2010-12-31,1140.0
T17169,2011-03-31,1180.0
T17169,2011-06-30,1210.0
T17169,2011-09-30,1290.0
T17169,2011-12-31,1400.0
T17169,2012-03-31,1060.0
T17169,2012-06-30,1300.0
T17169,2012-09-30,1170.0
T17169,2012-12-31,1190.0
T17169,2013-03-31,1240.0
T17169,2013-06-30,1260.0
T17169,2013-09-30,1260.0
T17169,2013-12-31,1390.0
T17169,2014-03-31,1470.0
T17169,2014-06-30,1340.0
T17169,2014-09-30,1450.0
T17169,2014-12-31,1170.0
T17169,2015-03-31,1290.0
T17169,2015-06-30,1410.0
T17169,2015-09-30,1300.0
T17169,2015-12-31,1320.0
T17169,2016-03-31,1320.0
T17169,2016-06-30,1310.0
T17169,2016-09-30,1290.0
T17169,2016-12-31,1330.0
T17169,2017-03-31,1330.0
T17169,2017-06-30,1320.0
T17224,2007-12-31,3300.0
T17224,2008-03-31,2900.0
T17224,2008-06-30,3600.0
T17224,2008-09-30,4300.0
T17224,2008-12-31,3800.0
T17224,2009-03-31,3500.0
T17224,2009-06-30,4100.0
T17224,2009-09-30,4300.0
T17224,2009-12-31,3300.0
T17224,2010-03-31,2300.0
T17224,2010-06-30,3500.0
T17224,2010-09-30,4300.0
T17224,2010-12-31,3800.0
T17224,2011-03-31,3200.0
T17224,2011-06-30,4000.0
T17224,2011-09-30,3500.0
T17224,2011-12-31,2200.0
T17224,2012-03-31,2600.0
T17224,2012-06-30,2700.0
T17224,2012-09-30,3700.0
T17224,2012-12-31,5300.0
T17224,2013-03-31,6700.0
T17224,2013-06-30,6800.0
T17224,2013-09-30,7200.0
T17224,2013-12-31,6500.0
T17224,2014-03-31,7100.0
T17224,2014-06-30,7200.0
T17224,2014-09-30,7900.0
T17224,2014-12-31,6900.0
T17224,2015-03-31,4700.0
T17224,2015-06-30,5700.0
T17224,2015-09-30,6600.0
T17224,2015-12-31,7200.0
T17224,2016-03-31,7900.0
T17224,2016-06-30,8400.0
T17224,2016-09-30,7200.0
T17224,2016-12-31,8400.0
T17224,2017-03-31,6600.0
T17224,2017-06-30,7400.0
T17252,2007-12-31,1690.0
T17252,2008-03-31,1630.0
T17252,2008-06-30,2090.0
T17252,2008-09-30,2210.0
T17252,2008-12-31,2210.0
T17252,2009-03-31,1940.0
T17252,2009-06-30,1800.0
T17252,2009-09-30,1660.0
T17252,2009-12-31,1420.0
T17252,2010-03-31,1420.0
T17252,2010-06-30,2110.0
T17252,2010-09-30,2140.0
T17252,2010-12-31,2090.0
T17252,2011-03-31,2020.0
T17252,2011-06-30,2170.0
T17252,2011-09-30,1870.0
T17252,2011-12-31,1400.0
T17252,2012-03-31,1440.0
T17252,2012-06-30,1830.0
T17252,2012-09-30,2180.0
T17252,2012-12-31,2460.0
T17252,2013-03-31,3270.0
T17252,2013-06-30,3140.0
T17252,2013-09-30,3480.0
T17252,2013-12-31,3680.0
T17252,2014-03-31,3880.0
T17252,2014-06-30,3950.0
T17252,2014-09-30,3830.0
T17252,2014-12-31,4070.0
T17252,2015-03-31,4530.0
T17252,2015-06-30,5070.0
T17252,2015-09-30,4880.0
T17252,2015-12-31,5050.0
T17252,2016-03-31,5230.0
T17252,2016-06-30,5620.0
T17252,2016-09-30,5010.0
T17252,2016-12-31,5200.0
T17252,2017-03-31,5280.0
T17252,2017-06-30,5180.0
T17265,2007-12-31,1130.0
T17265,2008-03-31,1410.0
T17265,2008-06-30,1340.0
T17265,2008-09-30,1410.0
T17265,2008-12-31,1360.0
T17265,2009-03-31,1280.0
T17265,2009-06-30,1140.0
T17265,2009-09-30,1030.0
T17265,2009-12-31,1150.0
T17265,2010-03-31,1500.0
T17265,2010-06-30,1460.0
T17265,2010-09-30,1820.0
T17265,2010-12-31,1830.0
T17265,2011-03-31,2060.0
T17265,2011-06-30,1770.0
T17265,2011-09-30,1660.0
T17265,2011-12-31,1780.0
T17265,2012-03-31,1950.0
T17265,2012-06-30,2270.0
T17265,2012-09-30,2630.0
T17265,2012-12-31,2860.0
T17265,2013-03-31,3470.0
T17265,2013-06-30,3250.0
T17265,2013-09-30,3140.0
T17265,2013-12-31,2750.0
T17265,2014-03-31,3700.0
T17265,2014-06-30,3250.0
T17265,2014-09-30,2830.0
T17265,2014-12-31,2680.0
T17265,2015-03-31,3040.0
T17265,2015-06-30,3040.0
T17265,2015-09-30,3470.0
T17265,2015-12-31,3430.0
T17265,2016-03-31,3230.0
T17265,2016-06-30,3260.0
T17265,2016-09-30,3280.0
T17265,2016-12-31,3300.0
T17265,2017-03-31,3310.0
T17265,2017-06-30,3520.0
T17297,2007-12-31,3000.0
T17297,2008-03-31,4300.0
T17297,2008-06-30,3900.0
T17297,2008-09-30,4400.0
T17297,2008-12-31,4000.0
T17297,2009-03-31,4000.0
T17297,2009-06-30,4400.0
T17297,2009-09-30,4000.0
T17297,2009-12-31,4600.0
T17297,2010-03-31,4600.0
T17297,2010-06-30,4700.0
T17297,2010-09-30,5000.0
T17297,2010-12-31,4000.0
T17297,2011-03-31,5100.0
T17297,2011-06-30,4900.0
T17297,2011-09-30,5200.0
T17297,2011-12-31,5600.0
T17297,2012-03-31,5500.0
T17297,2012-06-30,6400.0
T17297,2012-09-30,6500.0
T17297,2012-12-31,6600.0
T17297,2013-03-31,6600.0
T17297,2013-06-30,5900.0
T17297,2013-09-30,6000.0
T17297,2013-12-31,6300.0
T17297,2014-03-31,6800.0
T17297,2014-06-30,7000.0
T17297,2014-09-30,6600.0
T17297,2014-12-31,6800.0
T17297,2015-03-31,7400.0
T17297,2015-06-30,7300.0
T17297,2015-09-30,7100.0
T17297,2015-12-31,7500.0
T17297,2016-03-31,5700.0
T17297,2016-06-30,6500.0
T17297,2016-09-30,7300.0
T17297,2016-12-31,7900.0
T17297,2017-03-31,8100.0
T17297,2017-06-30,8100.0
T17325,2007-12-31,7200.0
T17325,2008-03-31,5460.0
T17325,2008-06-30,5770.0
T17325,2008-09-30,4850.0
T17325,2008-12-31,4980.0
T17325,2009-03-31,3570.0
T17325,2009-06-30,6050.0
T17325,2009-09-30,3190.0
T17325,2009-12-31,3980.0
T17325,2010-03-31,6600.0
T17325,2010-06-30,6220.0
T17325,2010-09-30,6050.0
T17325,2010-12-31,8450.0
T17325,2011-03-31,6130.0
T17325,2011-06-30,6370.0
T17325,2011-09-30,6180.0
T17325,2011-12-31,8050.0
T17325,2012-03-31,6300.0
T17325,2012-06-30,9280.0
T17325,2012-09-30,9880.0
T17325,2012-12-31,12720.0
T17325,2013-03-31,6880.0
T17325,2013-06-30,11810.0
T17325,2013-09-30,8480.0
T17325,2013-12-31,6840.0
T17325,2014-03-31,7060.0
T17325,2014-06-30,8400.0
T17325,2014-09-30,8070.0
T17325,2014-12-31,14200.0
T17325,2015-03-31,11340.0
T17325,2015-06-30,15070.0
T17325,2015-09-30,9800.0
T17325,2015-12-31,13020.0
T17325,2016-03-31,10540.0
T17325,2016-06-30,14580.0
T17325,2016-09-30,7140.0
T17325,2016-12-31,10330.0
T17325,2017-03-31,8960.0
T17325,2017-06-30,12810.0
T17342,2007-12-31,4600.0
T17342,2008-03-31,4400.0
T17342,2008-06-30,4700.0
T17342,2008-09-30,5000.0
T17342,2008-12-31,5600.0
T17342,2009-03-31,3600.0
T17342,2009-06-30,4600.0
T17342,2009-09-30,3900.0
T17342,2009-12-31,4600.0
T17342,2010-03-31,3800.0
T17342,2010-06-30,4700.0
T17342,2010-09-30,4600.0
T17342,2010-12-31,4700.0
T17342,2011-03-31,4600.0
T17342,2011-06-30,5000.0
T17342,2011-09-30,4700.0
T17342,2011-12-31,5600.0
T17342,2012-03-31,6100.0
T17342,2012-06-30,5400.0
T17342,2012-09-30,5900.0
T17342,2012-12-31,4000.0
T17342,2013-03-31,3700.0
T17342,2013-06-30,3800.0
T17342,2013-09-30,3700.0
T17342,2013-12-31,3400.0
T17342,2014-03-31,3500.0
T17342,2014-06-30,2700.0
T17342,2014-09-30,2900.0
T17342,2014-12-31,2600.0
T17342,2015-03-31,3000.0
T17342,2015-06-30,2400.0
T17342,2015-09-30,1900.0
T17342,2015-12-31,2600.0
T17342,2016-03-31,2600.0
T17342,2016-06-30,2600.0
T17342,2016-09-30,2100.0
T17342,2016-12-31,2500.0
T17342,2017-03-31,2100.0
T17342,2017-06-30,2400.0
T17353,2007-12-31,6470.0
T17353,2008-03-31,5950.0
T17353,2008-06-30,6660.0
T17353,2008-09-30,7700.0
T17353,2008-12-31,8720.0
T17353,2009-03-31,5970.0
T17353,2009-06-30,6190.0
T17353,2009-09-30,5850.0
T17353,2009-12-31,5780.0
T17353,2010-03-31,5090.0
T17353,2010-06-30,5940.0
T17353,2010-09-30,6580.0
T17353,2010-12-31,7100.0
T17353,2011-03-31,6890.0
T17353,2011-06-30,6740.0
T17353,2011-09-30,7380.0
T17353,2011-12-31,8050.0
T17353,2012-03-31,7790.0
T17353,2012-06-30,7150.0
T17353,2012-09-30,7490.0
T17353,2012-12-31,7270.0
T17353,2013-03-31,6320.0
T17353,2013-06-30,6700.0
T17353,2013-09-30,6610.0
T17353,2013-12-31,6710.0
T17353,2014-03-31,5880.0
T17353,2014-06-30,6340.0
T17353,2014-09-30,6470.0
T17353,2014-12-31,7100.0
T17353,2015-03-31,5730.0
T17353,2015-06-30,6580.0
T17353,2015-09-30,6410.0
T17353,2015-12-31,5930.0
T17353,2016-03-31,5110.0
T17353,2016-06-30,5310.0
T17353,2016-09-30,5540.0
T17353,2016-12-31,5820.0
T17353,2017-03-31,5120.0
T17353,2017-06-30,5400.0
T17407,2007-12-31,9928.0
T17407,2008-03-31,10419.0
T17407,2008-06-30,13868.0
T17407,2008-09-30,13984.0
T17407,2008-12-31,10929.0
T17407,2009-03-31,8897.0
T17407,2009-06-30,8215.0
T17407,2009-09-30,8974.0
T17407,2009-12-31,9479.0
T17407,2010-03-31,9828.0
T17407,2010-06-30,10847.0
T17407,2010-09-30,11798.0
T17407,2010-12-31,12444.0
T17407,2011-03-31,13951.0
T17407,2011-06-30,15954.0
T17407,2011-09-30,16580.0
T17407,2011-12-31,16654.0
T17407,2012-03-31,16773.0
T17407,2012-06-30,16641.0
T17407,2012-09-30,16765.0
T17407,2012-12-31,17145.0
T17407,2013-03-31,16075.0
T17407,2013-06-30,17143.0
T17407,2013-09-30,16245.0
T17407,2013-12-31,15036.0
T17407,2014-03-31,14078.0
T17407,2014-06-30,13532.0
T17407,2014-09-30,13961.0
T17407,2014-12-31,12511.0
T17407,2015-03-31,9972.0
T17407,2015-06-30,10250.0
T17407,2015-09-30,9297.0
T17407,2015-12-31,8290.0
T17407,2016-03-31,6797.0
T17407,2016-06-30,7791.0
T17407,2016-09-30,8910.0
T17407,2016-12-31,10325.0
T17407,2017-03-31,11637.0
T17407,2017-06-30,10205.0
T17418,2007-12-31,1110.0
T17418,2008-03-31,1210.0
T17418,2008-06-30,1270.0
T17418,2008-09-30,1400.0
T17418,2008-12-31,1470.0
T17418,2009-03-31,1300.0
T17418,2009-06-30,1450.0
T17418,2009-09-30,1430.0
T17418,2009-12-31,1530.0
T17418,2010-03-31,1510.0
T17418,2010-06-30,1740.0
T17418,2010-09-30,1760.0
T17418,2010-12-31,1800.0
T17418,2011-03-31,1860.0
T17418,2011-06-30,1940.0
T17418,2011-09-30,2070.0
T17418,2011-12-31,2080.0
T17418,2012-03-31,2000.0
T17418,2012-06-30,2070.0
T17418,2012-09-30,2120.0
T17418,2012-12-31,1970.0
T17418,2013-03-31,1970.0
T17418,2013-06-30,1900.0
T17418,2013-09-30,1860.0
T17418,2013-12-31,1820.0
T17418,2014-03-31,1960.0
T17418,2014-06-30,1730.0
T17418,2014-09-30,1940.0
T17418,2014-12-31,1770.0
T17418,2015-03-31,1630.0
T17418,2015-06-30,1470.0
T17418,2015-09-30,1460.0
T17418,2015-12-31,1480.0
T17418,2016-03-31,1510.0
T17418,2016-06-30,1480.0
T17418,2016-09-30,1470.0
T17418,2016-12-31,1610.0
T17418,2017-03-31,1530.0
T17418,2017-06-30,1720.0
T17437,2007-12-31,2498.0
T17437,2008-03-31,2696.0
T17437,2008-06-30,2727.0
T17437,2008-09-30,2641.0
T17437,2008-12-31,2252.0
T17437,2009-03-31,2290.0
T17437,2009-06-30,2120.0
T17437,2009-09-30,2253.0
T17437,2009-12-31,2589.0
T17437,2010-03-31,2626.0
T17437,2010-06-30,2583.0
T17437,2010-09-30,2350.0
T17437,2010-12-31,2494.0
T17437,2011-03-31,2624.0
T17437,2011-06-30,2485.0
T17437,2011-09-30,2461.0
T17437,2011-12-31,2384.0
T17437,2012-03-31,2202.0
T17437,2012-06-30,2052.0
T17437,2012-09-30,2097.0
T17437,2012-12-31,2130.0
T17437,2013-03-31,2055.0
T17437,2013-06-30,2186.0
T17437,2013-09-30,2168.0
T17437,2013-12-31,2145.0
T17437,2014-03-31,2229.0
T17437,2014-06-30,2467.0
T17437,2014-09-30,2319.0
T17437,2014-12-31,2372.0
T17437,2015-03-31,2306.0
T17437,2015-06-30,2298.0
T17437,2015-09-30,2362.0
T17437,2015-12-31,2294.0
T17437,2016-03-31,2189.0
T17437,2016-06-30,2291.0
T17437,2016-09-30,2384.0
T17437,2016-12-31,2827.0
T17437,2017-03-31,2679.0
T17437,2017-06-30,2537.0
T17452,2007-12-31,7100.0
T17452,2008-03-31,8300.0
T17452,2008-06-30,7800.0
T17452,2008-09-30,8200.0
T17452,2008-12-31,8700.0
T17452,2009-03-31,7900.0
T17452,2009-06-30,7800.0
T17452,2009-09-30,8200.0
T17452,2009-12-31,7800.0
T17452,2010-03-31,8100.0
T17452,2010-06-30,9100.0
T17452,2010-09-30,8800.0
T17452,2010-12-31,8800.0
T17452,2011-03-31,9500.0
T17452,2011-06-30,9600.0
T17452,2011-09-30,10100.0
T17452,2011-12-31,9900.0
T17452,2012-03-31,9100.0
T17452,2012-06-30,8800.0
T17452,2012-09-30,8800.0
T17452,2012-12-31,8900.0
T17452,2013-03-31,8100.0
T17452,2013-06-30,8700.0
T17452,2013-09-30,8600.0
T17452,2013-12-31,8400.0
T17452,2014-03-31,11000.0
T17452,2014-06-30,10400.0
T17452,2014-09-30,10500.0
T17452,2014-12-31,11000.0
T17452,2015-03-31,9900.0
T17452,2015-06-30,10000.0
T17452,2015-09-30,10400.0
T17452,2015-12-31,9700.0
T17452,2016-03-31,9500.0
T17452,2016-06-30,9700.0
T17452,2016-09-30,8700.0
T17452,2016-12-31,9200.0
T17452,2017-03-31,9500.0
T17452,2017-06-30,9800.0
T17475,2007-12-31,8500.0
T17475,2008-03-31,8800.0
T17475,2008-06-30,9200.0
T17475,2008-09-30,9400.0
T17475,2008-12-31,9800.0
T17475,2009-03-31,10200.0
T17475,2009-06-30,9500.0
T17475,2009-09-30,9400.0
T17475,2009-12-31,9600.0
T17475,2010-03-31,9900.0
T17475,2010-06-30,10300.0
T17475,2010-09-30,10300.0
T17475,2010-12-31,10700.0
T17475,2011-03-31,11000.0
T17475,2011-06-30,11600.0
T17475,2011-09-30,12100.0
T17475,2011-12-31,12000.0
T17475,2012-03-31,11900.0
T17475,2012-06-30,11700.0
T17475,2012-09-30,11400.0
T17475,2012-12-31,11200.0
T17475,2013-03-31,11600.0
T17475,2013-06-30,11300.0
T17475,2013-09-30,11100.0
T17475,2013-12-31,10800.0
T17475,2014-03-31,10700.0
T17475,2014-06-30,10600.0
T17475,2014-09-30,10500.0
T17475,2014-12-31,10500.0
T17475,2015-03-31,10300.0
T17475,2015-06-30,10100.0
T17475,2015-09-30,9800.0
T17475,2015-12-31,9800.0
T17475,2016-03-31,10100.0
T17475,2016-06-30,10400.0
T17475,2016-09-30,10900.0
T17475,2016-12-31,11300.0
T17475,2017-03-31,11400.0
T17475,2017-06-30,11300.0
T17489,2007-12-31,8900.0
T17489,2008-03-31,9000.0
T17489,2008-06-30,9500.0
T17489,2008-09-30,9100.0
T17489,2008-12-31,7900.0
T17489,2009-03-31,6800.0
T17489,2009-06-30,6900.0
T17489,2009-09-30,7200.0
T17489,2009-12-31,7800.0
T17489,2010-03-31,8000.0
T17489,2010-06-30,8400.0
T17489,2010-09-30,8700.0
T17489,2010-12-31,8800.0
T17489,2011-03-31,9100.0
T17489,2011-06-30,8900.0
T17489,2011-09-30,9100.0
T17489,2011-12-31,9300.0
T17489,2012-03-31,9300.0
T17489,2012-06-30,9000.0
T17489,2012-09-30,9100.0
T17489,2012-12-31,8800.0
T17489,2013-03-31,9000.0
T17489,2013-06-30,9300.0
T17489,2013-09-30,9800.0
T17489,2013-12-31,9500.0
T17489,2014-03-31,9700.0
T17489,2014-06-30,9900.0
T17489,2014-09-30,10000.0
T17489,2014-12-31,10200.0
T17489,2015-03-31,10400.0
T17489,2015-06-30,9800.0
T17489,2015-09-30,9900.0
T17489,2015-12-31,10000.0
T17489,2016-03-31,10200.0
T17489,2016-06-30,10500.0
T17489,2016-09-30,10500.0
T17489,2016-12-31,10900.0
T17489,2017-03-31,10800.0
T17489,2017-06-30,10700.0
T17510,2007-12-31,8400.0
T17510,2008-03-31,8500.0
T17510,2008-06-30,8700.0
T17510,2008-09-30,8300.0
T17510,2008-12-31,7800.0
T17510,2009-03-31,7400.0
T17510,2009-06-30,7600.0
T17510,2009-09-30,7500.0
T17510,2009-12-31,7900.0
T17510,2010-03-31,8100.0
T17510,2010-06-30,8200.0
T17510,2010-09-30,8400.0
T17510,2010-12-31,8500.0
T17510,2011-03-31,8500.0
T17510,2011-06-30,8100.0
T17510,2011-09-30,8600.0
T17510,2011-12-31,8600.0
T17510,2012-03-31,8600.0
T17510,2012-06-30,8800.0
T17510,2012-09-30,9000.0
T17510,2012-12-31,8300.0
T17510,2013-03-31,8700.0
T17510,2013-06-30,8800.0
T17510,2013-09-30,9000.0
T17510,2013-12-31,9200.0
T17510,2014-03-31,9500.0
T17510,2014-06-30,9900.0
T17510,2014-09-30,9900.0
T17510,2014-12-31,10200.0
T17510,2015-03-31,10000.0
T17510,2015-06-30,9800.0
T17510,2015-09-30,9800.0
T17510,2015-12-31,10400.0
T17510,2016-03-31,10000.0
T17510,2016-06-30,10000.0
T17510,2016-09-30,10500.0
T17510,2016-12-31,10500.0
T17510,2017-03-31,10600.0
T17510,2017-06-30,11000.0
T17533,2007-12-31,1440.0
T17533,2008-03-31,1030.0
T17533,2008-06-30,840.0
T17533,2008-09-30,1550.0
T17533,2008-12-31,1530.0
T17533,2009-03-31,1120.0
T17533,2009-06-30,850.0
T17533,2009-09-30,1470.0
T17533,2009-12-31,1480.0
T17533,2010-03-31,1040.0
T17533,2010-06-30,850.0
T17533,2010-09-30,1540.0
T17533,2010-12-31,1590.0
T17533,2011-03-31,1150.0
T17533,2011-06-30,1010.0
T17533,2011-09-30,1790.0
T17533,2011-12-31,1810.0
T17533,2012-03-31,1230.0
T17533,2012-06-30,1000.0
T17533,2012-09-30,1670.0
T17533,2012-12-31,1760.0
T17533,2013-03-31,1190.0
T17533,2013-06-30,1040.0
T17533,2013-09-30,1700.0
T17533,2013-12-31,1950.0
T17533,2014-03-31,1330.0
T17533,2014-06-30,1380.0
T17533,2014-09-30,2020.0
T17533,2014-12-31,2150.0
T17533,2015-03-31,1530.0
T17533,2015-06-30,1250.0
T17533,2015-09-30,1880.0
T17533,2015-12-31,2230.0
